wall_time,episode_idx,road_id,sim_time_s,property,rho,status
2026-06-20 02:59:48,4,352,30.74547,P5_recovery,-0.2631,violated
2026-06-20 02:59:50,4,352,32.64545,P5_recovery,-0.0239,violated
2026-06-20 02:59:52,4,352,34.7748,P5_recovery,-0.1924,violated
2026-06-20 02:59:53,4,352,35.88861,P5_recovery,-0.1201,violated
2026-06-20 02:59:56,4,352,37.9813,P5_recovery,-0.1712,violated
2026-06-20 02:59:57,4,352,39.28941,P5_recovery,-0.0742,violated
2026-06-20 03:00:00,4,352,42.126,P5_recovery,-0.0613,violated
2026-06-20 03:00:01,4,352,43.60597,P5_recovery,-0.0308,violated
2026-06-20 03:00:04,4,352,45.99698,P5_recovery,-0.1509,violated
2026-06-20 03:00:06,4,352,48.56547,P5_recovery,-0.114,violated
2026-06-20 03:00:08,4,352,50.20868,P5_recovery,-0.5433,violated
2026-06-20 03:03:41,0,248,7.39104,P5_recovery,-0.0084,violated
2026-06-20 03:03:42,0,248,7.77374,P3_steering_smoothness,-0.00193,violated
2026-06-20 03:03:43,0,248,9.0488,P4_heading_alignment,-0.01226,violated
2026-06-20 03:03:43,0,248,9.37096,P5_recovery,-0.1051,violated
2026-06-20 03:03:43,0,248,9.37096,P6_curvature_safety,-0.0051,violated
2026-06-20 03:03:43,0,248,9.52931,P1_lane_keeping,-0.0406,violated
2026-06-20 03:03:45,0,248,11.07992,P5_recovery,-0.0594,violated
2026-06-20 03:03:46,0,248,12.03455,P5_recovery,-0.0603,violated
2026-06-20 03:03:48,0,248,13.9006,P5_recovery,-0.2526,violated
2026-06-20 03:03:49,0,248,15.57797,P5_recovery,-1.616,violated
2026-06-20 03:03:55,1,172,4.04526,P5_recovery,-0.006,violated
2026-06-20 03:03:56,1,172,4.45535,P6_curvature_safety,-0.0017,violated
2026-06-20 03:03:58,1,172,6.33138,P5_recovery,-0.0497,violated
2026-06-20 03:04:00,1,172,8.70263,P5_recovery,-0.0288,violated
2026-06-20 03:04:02,1,172,10.75622,P4_heading_alignment,-0.31317,violated
2026-06-20 03:04:02,1,172,10.75622,P5_recovery,-0.2573,violated
2026-06-20 03:04:02,1,172,11.1285,P1_lane_keeping,-1.6183,violated
2026-06-20 03:04:02,1,172,11.1285,P3_steering_smoothness,-0.03682,violated
2026-06-22 17:03:35,0,248,7.51454,P4_heading_alignment,-0.00239,violated
2026-06-22 17:03:35,0,248,7.63566,P5_recovery,-0.2942,violated
2026-06-22 17:03:35,0,248,7.74792,P1_lane_keeping,-0.0237,violated
2026-06-22 17:03:36,0,248,8.90564,P3_steering_smoothness,-0.0351,violated
2026-06-22 17:03:36,0,248,9.13519,P6_curvature_safety,-0.00257,violated
2026-06-22 17:03:37,0,248,9.8085,P5_recovery,-0.7622,violated
2026-06-22 17:03:48,1,172,4.08776,P5_recovery,-0.0075,violated
2026-06-22 17:03:51,1,172,6.33095,P5_recovery,-0.0491,violated
2026-06-22 17:03:51,1,172,6.38335,P6_curvature_safety,-0.00197,violated
2026-06-22 17:03:51,1,172,6.66505,P3_steering_smoothness,-0.03233,violated
2026-06-22 17:03:53,1,172,8.53557,P5_recovery,-0.0816,violated
2026-06-22 17:03:54,1,172,9.37399,P4_heading_alignment,-0.03191,violated
2026-06-22 17:03:54,1,172,9.81432,P5_recovery,-0.2283,violated
2026-06-22 17:03:55,1,172,10.72058,P5_recovery,-0.2288,violated
2026-06-22 17:03:55,1,172,10.82778,P1_lane_keeping,-0.1194,violated
2026-06-22 17:12:35,0,248,0.74786,P4_heading_alignment,-1.31164,violated
2026-06-22 17:12:42,0,248,7.66781,P5_recovery,-0.049,violated
2026-06-22 17:12:43,0,248,8.06061,P1_lane_keeping,-0.0172,violated
2026-06-22 17:12:43,0,248,8.33638,P3_steering_smoothness,-0.0845,violated
2026-06-22 17:12:44,0,248,9.29294,P6_curvature_safety,-0.00049,violated
2026-06-22 17:12:46,0,248,11.03928,P5_recovery,-0.2613,violated
2026-06-22 17:12:47,0,248,12.95103,P5_recovery,-0.9949,violated
2026-06-22 17:12:57,1,172,6.70592,P5_recovery,-0.0869,violated
2026-06-22 17:12:57,1,172,6.87788,P6_curvature_safety,-0.00411,violated
2026-06-22 17:12:58,1,172,7.5528,P1_lane_keeping,-0.1268,violated
2026-06-22 17:12:58,1,172,7.91464,P3_steering_smoothness,-0.11817,violated
2026-06-22 17:12:59,1,172,8.50985,P4_heading_alignment,-0.09022,violated
2026-06-22 17:12:59,1,172,9.00257,P5_recovery,-0.0024,violated
2026-06-22 17:13:00,1,172,9.81209,P5_recovery,-0.1685,violated
2026-06-22 17:13:02,1,172,11.39664,P5_recovery,-0.0213,violated
2026-06-22 17:13:03,1,172,12.44254,P5_recovery,-0.1755,violated
2026-06-22 17:13:05,1,172,14.31438,P5_recovery,-0.028,violated
2026-06-22 17:13:06,1,172,15.94492,P5_recovery,-0.2208,violated
2026-06-22 17:13:08,1,172,17.37354,P5_recovery,-0.0309,violated
2026-06-22 17:13:09,1,172,18.45312,P5_recovery,-0.0079,violated
2026-06-22 17:13:11,1,172,20.77743,P5_recovery,-0.2452,violated
2026-06-22 17:13:13,1,172,22.1693,P5_recovery,-0.3036,violated
2026-06-22 17:13:14,1,172,23.72547,P5_recovery,-0.0593,violated
2026-06-22 17:15:00,0,349,8.47828,P4_heading_alignment,-0.00037,violated
2026-06-22 17:15:00,0,349,8.67929,P5_recovery,-0.1616,violated
2026-06-22 17:15:00,0,349,8.67929,P6_curvature_safety,-0.00386,violated
2026-06-22 17:15:01,0,349,9.15072,P1_lane_keeping,-0.197,violated
2026-06-22 17:15:01,0,349,9.15072,P3_steering_smoothness,-0.05943,violated
2026-06-22 17:15:02,0,349,10.41591,P5_recovery,-0.0046,violated
2026-06-22 17:15:03,0,349,11.1834,P5_recovery,-0.4493,violated
2026-06-22 17:15:05,0,349,13.50482,P5_recovery,-0.4497,violated
2026-06-22 17:16:41,0,349,8.64274,P4_heading_alignment,-0.03738,violated
2026-06-22 17:16:41,0,349,8.72876,P5_recovery,-0.1106,violated
2026-06-22 17:16:41,0,349,8.72876,P6_curvature_safety,-0.00896,violated
2026-06-22 17:16:41,0,349,9.00745,P1_lane_keeping,-0.1621,violated
2026-06-22 17:16:41,0,349,9.00745,P3_steering_smoothness,-0.12139,violated
2026-06-22 17:16:42,0,349,10.35144,P5_recovery,-0.2197,violated
2026-06-22 17:16:43,0,349,11.27253,P5_recovery,-0.1113,violated
2026-06-22 17:16:46,0,349,13.72262,P5_recovery,-0.1639,violated
2026-06-22 17:16:47,0,349,14.62173,P5_recovery,-0.1423,violated
2026-06-22 17:16:48,0,349,16.39054,P5_recovery,-0.225,violated
2026-06-22 17:16:49,0,349,17.54212,P5_recovery,-0.3652,violated
2026-06-22 17:16:51,0,349,19.18509,P5_recovery,-0.2065,violated
2026-06-22 17:16:53,0,349,21.07734,P5_recovery,-0.1845,violated
2026-06-22 17:16:54,0,349,22.33993,P5_recovery,-0.1859,violated
2026-06-22 17:16:56,0,349,24.18373,P5_recovery,-0.065,violated
2026-06-22 17:16:57,0,349,25.20183,P5_recovery,-0.1839,violated
2026-06-22 17:16:59,0,349,27.48725,P5_recovery,-0.1984,violated
2026-06-22 17:17:01,0,349,29.17233,P5_recovery,-2.4939,violated
2026-06-22 17:17:12,2,853,5.88986,P5_recovery,-0.0215,violated
2026-06-22 17:17:12,2,853,6.42498,P3_steering_smoothness,-0.0018,violated
2026-06-22 17:17:13,2,853,6.89825,P4_heading_alignment,-0.14886,violated
2026-06-22 17:17:13,2,853,7.10983,P5_recovery,-0.129,violated
2026-06-22 17:17:13,2,853,7.2391,P1_lane_keeping,-0.1523,violated
2026-06-22 17:17:18,2,853,11.72685,P6_curvature_safety,-0.01651,violated
2026-06-22 17:17:25,4,550,1.8987,P5_recovery,-0.0267,violated
2026-06-22 17:17:25,4,550,2.00742,P6_curvature_safety,-0.0031,violated
2026-06-22 17:17:25,4,550,2.42702,P3_steering_smoothness,-0.01509,violated
2026-06-22 17:17:29,4,550,5.51899,P5_recovery,-0.0305,violated
2026-06-22 17:17:30,4,550,7.37901,P5_recovery,-0.087,violated
2026-06-22 17:17:31,4,550,7.78222,P1_lane_keeping,-0.0329,violated
2026-06-22 17:17:32,4,550,8.52869,P4_heading_alignment,-0.08759,violated
2026-06-22 17:17:32,4,550,8.83558,P5_recovery,-0.1038,violated
2026-06-22 17:17:33,4,550,9.94779,P5_recovery,-0.0067,violated
2026-06-22 17:17:35,4,550,12.22442,P5_recovery,-0.0651,violated
2026-06-22 17:17:36,4,550,12.92015,P5_recovery,-0.1243,violated
2026-06-22 17:17:41,4,550,17.57081,P5_recovery,-0.2709,violated
2026-06-22 17:17:42,4,550,19.06922,P5_recovery,-0.3414,violated
2026-06-22 17:17:45,4,550,21.50364,P5_recovery,-0.3072,violated
2026-06-22 17:17:47,4,550,23.91283,P5_recovery,-0.1186,violated
2026-06-22 17:17:49,4,550,25.44863,P5_recovery,-0.2826,violated
2026-06-22 17:17:50,4,550,27.1982,P5_recovery,-0.2739,violated
2026-06-22 17:19:24,0,349,0.67528,P4_heading_alignment,-1.24541,violated
2026-06-22 17:19:33,0,349,9.10336,P5_recovery,-0.0252,violated
2026-06-22 17:19:33,0,349,9.2206,P6_curvature_safety,-0.0043,violated
2026-06-22 17:19:36,0,349,11.90423,P5_recovery,-0.034,violated
2026-06-22 17:19:36,0,349,12.25019,P1_lane_keeping,-0.0156,violated
2026-06-22 17:19:36,0,349,12.34881,P3_steering_smoothness,-0.03988,violated
2026-06-22 17:19:39,0,349,15.07928,P5_recovery,-0.059,violated
2026-06-22 17:19:40,0,349,16.56455,P5_recovery,-0.3781,violated
2026-06-22 17:19:42,0,349,17.96938,P5_recovery,-0.0045,violated
2026-06-22 17:19:42,0,349,18.89302,P5_recovery,-0.3791,violated
